date,gmv,users,marketing_cost,fe_pods,be_pods
2024-07-01,9744406.0,74410.0,169148.0,14,7
2024-07-02,9782232.0,87178.0,196753.0,14,6
2024-07-03,8644082.0,69498.0,167459.0,14,7
2024-07-04,9849156.0,88348.0,167776.0,14,8
2024-07-05,10094013.0,81334.0,148722.0,14,7
2024-07-06,9784558.0,76715.0,139363.0,14,8
2024-07-07,10125074.0,67462.0,178628.0,11,5
2024-07-08,7667948.0,89871.0,152404.0,11,4
2024-07-09,8712003.0,75720.0,157057.0,11,5
2024-07-10,9559697.0,67383.0,177031.0,11,5
2024-07-11,7881895.0,73641.0,175594.0,11,6
2024-07-12,8342869.0,84356.0,205023.0,11,5
2024-07-13,10122511.0,72597.0,138501.0,11,4
2024-07-14,8936331.0,88423.0,191620.0,11,5
2024-07-15,8652124.0,77351.0,140450.0,11,4
2024-07-16,9336712.0,73564.0,187777.0,13,4
2024-07-17,8166059.0,78313.0,144022.0,14,5
2024-07-18,8920588.0,85366.0,203680.0,14,3
2024-07-19,8173326.0,77766.0,202182.0,14,4
2024-07-20,10085221.0,73210.0,156311.0,14,5
2024-07-21,8404514.0,83540.0,207522.0,14,4
2024-07-22,10236453.0,74284.0,199616.0,14,5
2024-07-23,7773637.0,78913.0,158724.0,14,4
2024-07-24,10150924.0,68242.0,179018.0,14,4
2024-07-25,8759364.0,88126.0,202569.0,14,4
2024-07-26,9685377.0,74254.0,156277.0,14,4
2024-07-27,9230722.0,85117.0,177157.0,14,4
2024-07-28,8322665.0,80342.0,145738.0,14,4
2024-07-29,8133276.0,70487.0,184203.0,14,6
2024-07-30,8202385.0,87719.0,189274.0,14,4
2024-07-31,8968183.0,76045.0,153396.0,14,4
2024-08-01,8863559.0,89442.0,177040.0,11,6
2024-08-02,7946552.0,83196.0,205108.0,11,4
2024-08-03,9043884.0,83837.0,176558.0,11,4
2024-08-04,9191324.0,89302.0,144017.0,11,3
2024-08-05,10067014.0,72129.0,144685.0,11,5
2024-08-06,7630727.0,67769.0,188770.0,11,4
2024-08-07,8291695.0,84807.0,205647.0,11,4
2024-08-08,10217199.0,88925.0,182623.0,11,6
2024-08-09,9227825.0,69692.0,165966.0,11,4
2024-08-10,9389478.0,85692.0,168540.0,11,4
2024-08-11,8041091.0,91079.0,165609.0,11,4
2024-08-12,9104539.0,75657.0,143177.0,11,5
2024-08-13,9064488.0,69376.0,147542.0,11,4
2024-08-14,9336220.0,80474.0,147150.0,11,6
2024-08-15,9045167.0,85863.0,175808.0,11,4
2024-08-16,8625586.0,71823.0,164015.0,13,4
2024-08-17,8683385.0,88879.0,158427.0,14,4
2024-08-18,8726821.0,91345.0,144899.0,14,4
2024-08-19,9958793.0,76449.0,178165.0,14,4
2024-08-20,7688696.0,67823.0,180847.0,14,5
2024-08-21,8053541.0,89470.0,209657.0,14,4
2024-08-22,10063481.0,90911.0,167927.0,14,5
2024-08-23,9090139.0,85103.0,192625.0,14,5
2024-08-24,8687931.0,73358.0,198906.0,14,4
2024-08-25,10360410.0,86215.0,157480.0,14,7
2024-08-26,9853613.0,72946.0,176418.0,14,4
2024-08-27,10210573.0,89655.0,145132.0,14,4
2024-08-28,9220199.0,90424.0,195464.0,14,3
2024-08-29,9196121.0,69832.0,147399.0,14,3
2024-08-30,7966483.0,91769.0,155129.0,14,6
2024-08-31,9053639.0,88261.0,163513.0,14,4
2024-09-01,10199401.0,70537.0,200798.0,11,7
2024-09-02,8574223.0,71360.0,164018.0,11,6
2024-09-03,9236104.0,73768.0,146277.0,11,4
2024-09-04,8108322.0,73761.0,207462.0,11,5
